STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,PERIOD_INC_INC_005,Year,OCC2_INC_INC_005,Occupation,SEX_INC_INC_005,Sex,QAL_INC_INC_005,Highest qualification,MEASURE_INC_INC_005,Measure,OBS_VALUE,Observation value
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,2,Lower secondary school qualification,MED_WEEK_INC,,825,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,2,Lower secondary school qualification,NO_PEOPLE,,10.5,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,3,Upper secondary school qualification,AV_HOUR_EARN,,26.22,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,3,Upper secondary school qualification,AV_WEEK_INC,,970,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,3,Upper secondary school qualification,MED_HOUR_EARN,,22.44,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,3,Upper secondary school qualification,MED_WEEK_INC,,863,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,3,Upper secondary school qualification,NO_PEOPLE,,17.2,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,4,Level 1-3 post-school certificate,AV_HOUR_EARN,,23.15,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,4,Level 1-3 post-school certificate,AV_WEEK_INC,,860,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,4,Level 1-3 post-school certificate,MED_HOUR_EARN,,20,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,4,Level 1-3 post-school certificate,MED_WEEK_INC,,768,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,4,Level 1-3 post-school certificate,NO_PEOPLE,,4.6,
DATAFLOW,STATSNZ:INC_INC_005(1.0),"Earnings from main wage and salary job by occupation (ANZSCO 2006), sex, and highest qualification",I,201306,2013,1,Managers,2,Female,5,Level 4-6 certificate or diploma,AV_HOUR_EARN,,27.14,
