PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
February,2002,32.6,10.0,0.0,58.6,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2003,69.0,9.0,0.0,29.4,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2004,35.0,17.0,0.0,68.0,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2005,32.6,14.0,0.0,86.7,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2006,58.1,9.0,0.0,51.0,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2007,79.9,10.0,0.0,22.6,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2008,48.9,10.0,0.0,54.0,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2009,30.4,13.0,0.0,83.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2010,81.3,9.0,0.0,26.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2011,82.0,11.0,0.0,29.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2012,47.6,13.0,0.0,48.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2013,106.0,4.0,0.0,19.6,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2014,80.4,9.0,0.0,40.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2015,105.2,6.0,0.0,17.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2016,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2017,99.0,5.0,0.0,16.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2018,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2019,,,0.0,,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
February,2020,96.5,8.0,0.0,12.6,4960,NIWA Station 4960,February,2025-08-01 09:46:31.021708,2
