RETURN_TO_CONTENTS,UNNAMED:_2,UNNAMED:_3,UNNAMED:_4,UNNAMED:_5,UNNAMED:_6,UNNAMED:_7,UNNAMED:_8,UNNAMED:_9,UNNAMED:_10,UNNAMED:_11,UNNAMED:_12,UNNAMED:_13,SOURCE_SHEET,LOAD_TIMESTAMP
Net Electricity Generation by Fuel Type - Cogeneration Separated (GWh),,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
Calendar Year,,Electricity Only Plants,,,,,,,,,Cogeneration2,Total,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
,,Hydro,Geo- thermal,Biogas,Wind,Solar PV,Oil1,Coal,Gas,Sub- total,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2016,,25675.6987779812,7670.9588467,186.080015206589,2317.35780358087,56.1786590471279,2.87115380539801,403.903546890952,4512.42880910905,40825.477612321185,2093.76674577489,42919.244358096075,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2017,,24924.095793828,7712.15798198,195.567800143704,2070.13853946231,76.3238751308513,5.26745787774179,516.85371672465,5604.22864527535,41104.6338104226,2206.61004280953,43311.24385323213,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2018,,25992.0335616467,7675.29175054,196.377945959349,2047.2860763822,99.6561236797122,10.6628431981363,890.600175620614,4450.15435887939,41362.06283590611,2056.72140728458,43418.78424319069,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2019,,25342.6657450515,7737.36039730933,202.93470735335,2233.11077627693,126.623966970251,3.68482887822009,1463.13658388966,4545.46113355369,41654.97813928293,2160.15605419558,43815.13419347851,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2020,,24023.9254729484,7778.08118159644,209.8888857085,2286.06653482581,159.504285558059,12.7980583590871,1575.53416891155,5060.30519144369,41106.10377935154,2072.60258466622,43178.706364017766,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2021,,23992.385725084,7917.79390177109,203.0858135613,2617.91434810107,208.366983697126,25.5664006899749,2376.78241315949,3800.56324644251,41142.458832506556,2133.57126647308,43276.03009897964,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2022,,26013.4440191279,7983.58961862155,204.00514761,2837.00104868755,282.734939795601,6.79836075425969,671.816005945979,3521.83884321402,41521.22798375685,1957.60208016059,43478.83006391744,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2023,(P),26308.9113893037,7708.99325965738,212.719775205,3206.01111227636,371.105973178124,4.47699277050883,504.653522411173,3470.91119152553,41787.78321632776,1705.15747814749,43492.940694475255,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
∆2023/2019 p.a.,,0.009398478264152299,-0.0009178266310923,0.011842423137665703,0.09462078145416819,0.3084149788866688,0.04988629656411958,-0.23365009152520144,-0.06520498388117313,0.0007961028812342175,-0.05741648107763042,-0.0018434600345644814,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
∆2023/2022,,0.0113582565214565,-0.03439509945797814,0.042717684808914136,0.1300704713378662,0.31255787999321716,-0.3414599589020554,-0.24882182331965397,-0.014460528705513842,0.0064197338449429875,-0.12895603482010543,0.00032454025412076426,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
Notes ,,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
1 Negative generation by oil-fired plants implies a net import into the station to maintain station viability and system voltage stability.,,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
2 Individual estimates of generation from cogeneration plant types can be obtained by subtracting the electricity-only plant information table 2,,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
"P = Provisional figures. Electricity information is collected from a number of sources including Statistics New Zealand, the Electricity Authority, and generators.",,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
Some generator supplied information is collected only on a March year basis so figures for the most recent year in the ENZ will always be provisional estimates.,,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
n.a. = Not applicable.,,,,,,,,,,,,,6 - Fuel type (GWh),2025-08-01 08:34:55.720882
