month_name,year,station_id,station_name,load_timestamp,month_number,mean_temperature_c
December,1966,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.7
December,1967,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,2.2
December,1968,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,2.1
December,1969,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.8
December,1970,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.9
December,1971,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.5
December,1972,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,2.1
December,1973,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.3
December,1974,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.8
December,1975,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.7
December,1976,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.6
December,1977,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.5
December,1978,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.5
December,1979,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.8
December,1981,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,2.1
December,1982,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,2.5
December,1983,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,12,1.9
December,1984,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.1
December,1985,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.1
December,1986,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.2
December,1987,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.5
December,1988,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.0
December,1989,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.3
December,1990,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.0
December,1992,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.9
December,1995,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.2
December,1997,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.2
December,1998,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.6
December,1999,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.3
December,2000,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.7
December,2001,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.6
December,2002,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.4
December,2003,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.9
December,2004,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.4
December,2005,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.4
December,2006,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.9
December,2007,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.4
December,2008,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.6
December,2009,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.5
December,2010,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.3
December,2011,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.8
December,2012,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.9
December,2013,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.2
December,2014,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.6
December,2015,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.2
December,2016,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.6
December,2017,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.8
December,2018,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.6
December,2019,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.4
December,2020,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,3.2
December,2021,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.9
December,2022,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.5
December,2024,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,12,2.6
February,1947,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.7
February,1948,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.0
February,1949,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.6
February,1950,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.2
February,1951,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.6
February,1952,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.5
February,1953,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.2
February,1954,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.0
February,1955,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.7
February,1956,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.5
February,1957,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.8
February,1958,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.6
February,1959,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.0
February,1960,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.4
February,1961,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.4
February,1962,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.9
February,1963,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.0
February,1964,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.7
February,1965,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.6
February,1966,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.6
February,1967,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.1
February,1968,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.0
February,1969,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.5
February,1970,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.6
February,1971,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.9
February,1972,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.6
February,1973,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.9
February,1974,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.7
February,1975,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.1
February,1976,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.3
February,1977,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.4
February,1978,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.1
February,1979,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.3
February,1980,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.9
February,1981,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.9
February,1982,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,2.0
February,1983,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.7
February,1984,2109,NIWA Station 2109,2025-08-01 10:29:01.525514,2,1.7
February,1984,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,2.8
February,1985,4960,NIWA Station 4960,2025-08-01 10:29:01.508589,2,3.0
