PERIOD,year,mean_temperature_c,station_id,station_name,month_name,load_timestamp,month_number
February,2011,15.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2012,14.2,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2013,15.4,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2014,15.5,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2015,15.0,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2016,17.4,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2017,15.6,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2018,15.5,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2019,16.0,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2020,16.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2021,15.4,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2022,14.4,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2023,16.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2024,15.8,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
February,2025,15.3,4960,NIWA Station 4960,February,2025-08-01 09:46:31.030696,2
January,1985,17.4,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,1986,16.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,1987,16.9,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,1990,15.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,1992,15.3,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,1993,14.0,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,1995,14.8,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,1997,13.3,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
January,1998,16.9,4960,NIWA Station 4960,January,2025-08-01 09:46:31.030696,1
