PERIOD,year,total_deficit_mm,rain_days_count,total_runoff_mm,total_rainfall_mm,station_id,station_name,month_name,load_timestamp,month_number
January,1937,,,,183.4,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1938,,,,166.1,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1939,,,,24.6,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1940,,,,201.2,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1941,,,,190.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1942,,,,72.9,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1943,,,,45.5,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1944,,,,57.2,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1945,,,,198.4,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1946,,,,18.8,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1947,,,,65.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1948,,,,79.2,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1949,,,,79.8,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1950,,,,15.7,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1951,,,,116.8,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1952,,,,68.3,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1953,,,,180.6,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1954,,,,15.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1955,,,,84.6,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1956,,,,122.9,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1957,,,,7.6,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1958,,,,47.2,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1959,,,,170.9,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1960,,,,27.7,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1961,,,,130.6,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1962,,,,40.9,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1963,,,0.0,68.1,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1964,,,,91.9,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1965,,,,179.1,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1966,,,,151.9,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1967,,,,142.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1968,,,0.0,47.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1969,9.9,18.0,0.0,93.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1970,131.2,9.0,0.0,49.1,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1971,107.7,8.0,0.0,54.2,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1972,,,0.0,55.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1973,108.8,12.0,0.0,61.4,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1974,191.0,1.0,0.0,6.4,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1975,59.8,13.0,0.0,108.8,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1976,40.6,17.0,48.4,225.7,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1977,16.7,12.0,0.0,123.1,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1978,83.4,5.0,0.0,29.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1979,162.7,7.0,0.0,17.5,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1980,9.3,14.0,0.0,137.6,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1981,57.8,11.0,0.0,111.0,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1982,117.2,9.0,0.0,58.8,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1983,88.5,16.0,0.0,86.4,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
January,1984,9.7,15.0,0.0,115.1,1464,NIWA Station 1464,January,2025-08-01 09:46:31.000251,1
July,1933,,,,105.4,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1934,,,,195.6,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1935,,,,223.8,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1936,,,,198.1,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1937,,,,263.9,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1938,,,,322.1,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1939,,,,345.2,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1940,,,,73.9,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1941,,,,165.9,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1942,,,,201.4,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1943,,,,236.2,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1944,,,,118.1,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1945,,,,169.2,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1946,,,,169.7,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1947,,,,213.1,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1948,,,,238.5,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1949,,,,163.6,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1950,,,,80.5,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1951,,,,194.8,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1952,,,,108.2,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1953,,,,240.0,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1954,,,,151.4,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1955,,,,106.9,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1956,,,,143.0,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1957,,,,78.7,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1958,,,,219.7,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1959,,,,210.1,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1960,,,,162.3,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1961,,,,235.0,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1962,,,,146.1,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1963,,,,124.0,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1964,,,,251.5,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
July,1965,,,,204.0,1464,NIWA Station 1464,July,2025-08-01 09:46:31.000251,7
