"","Northland","","","","","","","Auckland","","","","","","","Waikato","","","","","","","Bay of Plenty","","","","","","","Hawke's Bay, Gisborne","","","","","","","Taranaki, Manawatu, Wanganui","","","","","","","Wellington","","","","","","","Nelson, Marlborough, Tasman","","","","","","","Canterbury","","","","","","","West Coast","","","","","","","Otago","","","","","","","Southland","","","","","","","New Zealand","","","","","",""
" ","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend","Guest nights","Domestic guest nights","Domestic guest nights: seasonally adjusted","Domestic guest nights: trend","International guest nights","International guest nights: seasonally adjusted","International guest nights: trend"
"1998M02",158,"..","..","..","..","..","..",349,"..","..","..","..","..","..",219,"..","..","..","..","..","..",252,"..","..","..","..","..","..",92,"..","..","..","..","..","..",115,"..","..","..","..","..","..",142,"..","..","..","..","..","..",178,"..","..","..","..","..","..",367,"..","..","..","..","..","..",83,"..","..","..","..","..","..",259,"..","..","..","..","..","..",77,"..","..","..","..","..","..",2292,"..","..","..","..","..",".."
"1998M03",134,"..","..","..","..","..","..",339,"..","..","..","..","..","..",193,"..","..","..","..","..","..",205,"..","..","..","..","..","..",82,"..","..","..","..","..","..",112,"..","..","..","..","..","..",147,"..","..","..","..","..","..",147,"..","..","..","..","..","..",327,"..","..","..","..","..","..",73,"..","..","..","..","..","..",246,"..","..","..","..","..","..",62,"..","..","..","..","..","..",2067,"..","..","..","..","..",".."
"1998M04",130,87,"..","..",42,"..","..",291,150,"..","..",140,"..","..",193,153,"..","..",40,"..","..",216,152,"..","..",64,"..","..",83,70,"..","..",12,"..","..",113,94,"..","..",19,"..","..",135,94,"..","..",41,"..","..",123,90,"..","..",33,"..","..",301,183,"..","..",119,"..","..",64,40,"..","..",24,"..","..",246,144,"..","..",102,"..","..",54,29,"..","..",25,"..","..",1949,1287,"..","..",662,"..",".."
"1998M05",75,"..","..","..","..","..","..",255,"..","..","..","..","..","..",129,"..","..","..","..","..","..",148,"..","..","..","..","..","..",54,"..","..","..","..","..","..",85,"..","..","..","..","..","..",119,"..","..","..","..","..","..",74,"..","..","..","..","..","..",189,"..","..","..","..","..","..",36,"..","..","..","..","..","..",136,"..","..","..","..","..","..",34,"..","..","..","..","..","..",1334,"..","..","..","..","..",".."
"1998M06",53,"..","..","..","..","..","..",224,"..","..","..","..","..","..",108,"..","..","..","..","..","..",118,"..","..","..","..","..","..",39,"..","..","..","..","..","..",69,"..","..","..","..","..","..",98,"..","..","..","..","..","..",53,"..","..","..","..","..","..",145,"..","..","..","..","..","..",23,"..","..","..","..","..","..",104,"..","..","..","..","..","..",19,"..","..","..","..","..","..",1053,"..","..","..","..","..",".."
"1998M07",60,46,"..","..",15,"..","..",267,137,"..","..",130,"..","..",133,112,"..","..",22,"..","..",170,123,"..","..",47,"..","..",51,45,"..","..",5,"..","..",83,73,"..","..",10,"..","..",137,98,"..","..",39,"..","..",66,52,"..","..",14,"..","..",206,136,"..","..",70,"..","..",30,20,"..","..",10,"..","..",192,103,"..","..",89,"..","..",22,16,"..","..",6,"..","..",1417,961,"..","..",456,"..",".."
"1998M08",58,"..","..","..","..","..","..",251,"..","..","..","..","..","..",115,"..","..","..","..","..","..",140,"..","..","..","..","..","..",46,"..","..","..","..","..","..",81,"..","..","..","..","..","..",115,"..","..","..","..","..","..",57,"..","..","..","..","..","..",201,"..","..","..","..","..","..",30,"..","..","..","..","..","..",223,"..","..","..","..","..","..",24,"..","..","..","..","..","..",1342,"..","..","..","..","..",".."
"1998M09",66,"..","..","..","..","..","..",253,"..","..","..","..","..","..",139,"..","..","..","..","..","..",160,"..","..","..","..","..","..",56,"..","..","..","..","..","..",94,"..","..","..","..","..","..",123,"..","..","..","..","..","..",72,"..","..","..","..","..","..",211,"..","..","..","..","..","..",42,"..","..","..","..","..","..",208,"..","..","..","..","..","..",31,"..","..","..","..","..","..",1455,"..","..","..","..","..",".."
"1998M10",99,65,"..","..",34,"..","..",307,145,"..","..",162,"..","..",170,135,"..","..",35,"..","..",218,149,"..","..",69,"..","..",77,65,"..","..",12,"..","..",113,95,"..","..",18,"..","..",146,97,"..","..",48,"..","..",95,68,"..","..",26,"..","..",292,164,"..","..",128,"..","..",62,34,"..","..",28,"..","..",206,104,"..","..",102,"..","..",44,21,"..","..",23,"..","..",1828,1142,"..","..",686,"..",".."
"1998M11",107,"..","..","..","..","..","..",330,"..","..","..","..","..","..",154,"..","..","..","..","..","..",191,"..","..","..","..","..","..",65,"..","..","..","..","..","..",97,"..","..","..","..","..","..",136,"..","..","..","..","..","..",109,"..","..","..","..","..","..",303,"..","..","..","..","..","..",70,"..","..","..","..","..","..",227,"..","..","..","..","..","..",57,"..","..","..","..","..","..",1847,"..","..","..","..","..",".."
